Problem_Size,num_ranks,time,type
1920,2,2.61,blocking
1920,2,2.43,blocking
1920,2,2.41,blocking
1920,2,2.37,blocking
1920,2,2.39,blocking
1920,4,2.20,blocking
1920,4,2.12,blocking
1920,4,2.08,blocking
1920,4,2.14,blocking
1920,4,2.10,blocking
1920,8,1.93,blocking
1920,8,1.83,blocking
1920,8,1.83,blocking
1920,8,1.86,blocking
1920,8,1.83,blocking
1920,16,4.35,blocking
1920,16,4.31,blocking
1920,16,4.39,blocking
1920,16,4.33,blocking
1920,16,4.32,blocking
1920,32,4.36,blocking
1920,32,4.32,blocking
1920,32,4.45,blocking
1920,32,4.32,blocking
1920,32,4.24,blocking
1920,48,4.35,blocking
1920,48,4.32,blocking
1920,48,4.35,blocking
1920,48,4.36,blocking
1920,48,4.33,blocking
1920,64,4.47,blocking
1920,64,4.33,blocking
1920,64,4.34,blocking
1920,64,4.30,blocking
1920,64,4.31,blocking
1920,96,4.54,blocking
1920,96,4.61,blocking
1920,96,4.43,blocking
1920,96,4.38,blocking
1920,96,4.46,blocking
3840,2,7.47,blocking
3840,2,7.55,blocking
3840,2,7.42,blocking
3840,2,7.49,blocking
3840,2,7.50,blocking
3840,4,5.28,blocking
3840,4,5.55,blocking
3840,4,5.24,blocking
3840,4,5.23,blocking
3840,4,5.24,blocking
3840,8,3.84,blocking
3840,8,3.88,blocking
3840,8,3.99,blocking
3840,8,3.90,blocking
3840,8,3.92,blocking
3840,16,8.37,blocking
3840,16,8.30,blocking
3840,16,8.28,blocking
3840,16,8.47,blocking
3840,16,8.26,blocking
3840,32,8.09,blocking
3840,32,8.02,blocking
3840,32,8.17,blocking
3840,32,8.13,blocking
3840,32,8.08,blocking
3840,48,8.02,blocking
3840,48,8.11,blocking
3840,48,8.03,blocking
3840,48,7.95,blocking
3840,48,7.99,blocking
3840,64,7.95,blocking
3840,64,7.94,blocking
3840,64,7.89,blocking
3840,64,8.09,blocking
3840,64,8.08,blocking
3840,96,8.00,blocking
3840,96,8.04,blocking
3840,96,8.11,blocking
3840,96,7.98,blocking
3840,96,8.09,blocking
5760,2,15.61,blocking
5760,2,15.94,blocking
5760,2,15.85,blocking
5760,2,15.70,blocking
5760,2,15.79,blocking
5760,4,10.13,blocking
5760,4,10.03,blocking
5760,4,9.99,blocking
5760,4,10.12,blocking
5760,4,10.19,blocking
5760,8,6.78,blocking
5760,8,6.75,blocking
5760,8,6.98,blocking
5760,8,6.76,blocking
5760,8,6.72,blocking
5760,16,12.68,blocking
5760,16,12.66,blocking
5760,16,12.68,blocking
5760,16,12.91,blocking
5760,16,12.93,blocking
5760,32,11.87,blocking
5760,32,12.08,blocking
5760,32,12.02,blocking
5760,32,12.11,blocking
5760,32,12.24,blocking
5760,48,11.61,blocking
5760,48,11.81,blocking
5760,48,11.79,blocking
5760,48,11.72,blocking
5760,48,11.71,blocking
5760,64,11.81,blocking
5760,64,11.67,blocking
5760,64,11.77,blocking
5760,64,11.75,blocking
5760,64,11.82,blocking
5760,96,11.88,blocking
5760,96,12.10,blocking
5760,96,12.02,blocking
5760,96,11.90,blocking
5760,96,11.99,blocking
7680,2,26.98,blocking
7680,2,27.52,blocking
7680,2,27.02,blocking
7680,2,26.91,blocking
7680,2,27.04,blocking
7680,4,16.58,blocking
7680,4,16.71,blocking
7680,4,16.85,blocking
7680,4,16.60,blocking
7680,4,16.52,blocking
7680,8,10.54,blocking
7680,8,10.67,blocking
7680,8,10.44,blocking
7680,8,10.56,blocking
7680,8,10.44,blocking
7680,16,17.34,blocking
7680,16,17.50,blocking
7680,16,17.66,blocking
7680,16,17.57,blocking
7680,16,17.58,blocking
7680,32,16.12,blocking
7680,32,16.26,blocking
7680,32,16.07,blocking
7680,32,16.14,blocking
7680,32,16.10,blocking
7680,48,15.73,blocking
7680,48,15.75,blocking
7680,48,15.75,blocking
7680,48,15.69,blocking
7680,48,15.84,blocking
7680,64,15.45,blocking
7680,64,15.68,blocking
7680,64,15.85,blocking
7680,64,16.10,blocking
7680,64,15.52,blocking
7680,96,16.01,blocking
7680,96,15.83,blocking
7680,96,15.98,blocking
7680,96,15.66,blocking
7680,96,15.78,blocking
1920,2,1.72,non-blocking
1920,2,1.48,non-blocking
1920,2,1.53,non-blocking
1920,2,1.50,non-blocking
1920,2,1.50,non-blocking
1920,4,1.52,non-blocking
1920,4,1.46,non-blocking
1920,4,1.51,non-blocking
1920,4,1.44,non-blocking
1920,4,1.59,non-blocking
1920,8,1.45,non-blocking
1920,8,1.45,non-blocking
1920,8,1.42,non-blocking
1920,8,1.47,non-blocking
1920,8,1.51,non-blocking
1920,16,2.51,non-blocking
1920,16,2.55,non-blocking
1920,16,2.55,non-blocking
1920,16,2.54,non-blocking
1920,16,2.60,non-blocking
1920,32,2.65,non-blocking
1920,32,2.71,non-blocking
1920,32,2.67,non-blocking
1920,32,2.68,non-blocking
1920,32,2.62,non-blocking
1920,48,2.65,non-blocking
1920,48,2.66,non-blocking
1920,48,2.69,non-blocking
1920,48,2.71,non-blocking
1920,48,2.74,non-blocking
1920,64,2.81,non-blocking
1920,64,2.68,non-blocking
1920,64,2.69,non-blocking
1920,64,2.69,non-blocking
1920,64,2.70,non-blocking
1920,96,2.67,non-blocking
1920,96,2.73,non-blocking
1920,96,2.73,non-blocking
1920,96,2.66,non-blocking
1920,96,2.66,non-blocking
3840,2,4.16,non-blocking
3840,2,4.10,non-blocking
3840,2,4.15,non-blocking
3840,2,4.21,non-blocking
3840,2,4.28,non-blocking
3840,4,3.22,non-blocking
3840,4,3.17,non-blocking
3840,4,3.16,non-blocking
3840,4,3.15,non-blocking
3840,4,3.36,non-blocking
3840,8,2.59,non-blocking
3840,8,2.66,non-blocking
3840,8,2.61,non-blocking
3840,8,2.58,non-blocking
3840,8,2.55,non-blocking
3840,16,4.26,non-blocking
3840,16,4.31,non-blocking
3840,16,4.31,non-blocking
3840,16,4.37,non-blocking
3840,16,4.39,non-blocking
3840,32,4.45,non-blocking
3840,32,4.49,non-blocking
3840,32,4.44,non-blocking
3840,32,4.45,non-blocking
3840,32,4.47,non-blocking
3840,48,4.73,non-blocking
3840,48,4.53,non-blocking
3840,48,4.50,non-blocking
3840,48,4.51,non-blocking
3840,48,4.50,non-blocking
3840,64,4.59,non-blocking
3840,64,4.50,non-blocking
3840,64,4.58,non-blocking
3840,64,4.50,non-blocking
3840,64,4.56,non-blocking
3840,96,4.55,non-blocking
3840,96,4.53,non-blocking
3840,96,4.53,non-blocking
3840,96,4.63,non-blocking
3840,96,4.73,non-blocking
5760,2,8.52,non-blocking
5760,2,8.72,non-blocking
5760,2,8.86,non-blocking
5760,2,8.62,non-blocking
5760,2,8.60,non-blocking
5760,4,5.67,non-blocking
5760,4,5.70,non-blocking
5760,4,5.72,non-blocking
5760,4,5.85,non-blocking
5760,4,5.66,non-blocking
5760,8,4.17,non-blocking
5760,8,4.10,non-blocking
5760,8,4.16,non-blocking
5760,8,4.11,non-blocking
5760,8,4.09,non-blocking
5760,16,6.03,non-blocking
5760,16,6.12,non-blocking
5760,16,6.06,non-blocking
5760,16,6.08,non-blocking
5760,16,6.10,non-blocking
5760,32,6.41,non-blocking
5760,32,6.27,non-blocking
5760,32,6.26,non-blocking
5760,32,6.23,non-blocking
5760,32,6.23,non-blocking
5760,48,6.45,non-blocking
5760,48,6.32,non-blocking
5760,48,6.39,non-blocking
5760,48,6.35,non-blocking
5760,48,6.24,non-blocking
5760,64,6.58,non-blocking
5760,64,6.40,non-blocking
5760,64,6.38,non-blocking
5760,64,6.47,non-blocking
5760,64,6.41,non-blocking
5760,96,6.35,non-blocking
5760,96,6.63,non-blocking
5760,96,6.42,non-blocking
5760,96,6.38,non-blocking
5760,96,6.44,non-blocking
7680,2,14.92,non-blocking
7680,2,14.70,non-blocking
7680,2,14.54,non-blocking
7680,2,14.73,non-blocking
7680,2,14.55,non-blocking
7680,4,9.50,non-blocking
7680,4,9.48,non-blocking
7680,4,9.22,non-blocking
7680,4,9.32,non-blocking
7680,4,9.26,non-blocking
7680,8,6.09,non-blocking
7680,8,6.07,non-blocking
7680,8,6.07,non-blocking
7680,8,6.17,non-blocking
7680,8,6.06,non-blocking
7680,16,7.89,non-blocking
7680,16,7.85,non-blocking
7680,16,7.83,non-blocking
7680,16,7.94,non-blocking
7680,16,7.82,non-blocking
7680,32,8.01,non-blocking
7680,32,8.04,non-blocking
7680,32,8.15,non-blocking
7680,32,8.00,non-blocking
7680,32,8.12,non-blocking
7680,48,8.25,non-blocking
7680,48,8.27,non-blocking
7680,48,8.27,non-blocking
7680,48,8.17,non-blocking
7680,48,8.33,non-blocking
7680,64,8.39,non-blocking
7680,64,8.21,non-blocking
7680,64,8.25,non-blocking
7680,64,8.18,non-blocking
7680,64,8.18,non-blocking
7680,96,8.20,non-blocking
7680,96,8.22,non-blocking
7680,96,8.20,non-blocking
7680,96,8.26,non-blocking
7680,96,8.20,non-blocking
